utdate	obsnum	project	object	file_id	msbtitle	obs_sb	subsysnr	subbands	restfreq	molecule	transiti
20210407	7	JCMTCAL	IRC+10216	a20210407_00007_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210407	7	JCMTCAL	IRC+10216	a20210407_00007_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210407	8	JCMTCAL	IRC+10216	a20210407_00008_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210407	8	JCMTCAL	IRC+10216	a20210407_00008_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210407	9	JCMTCAL	IRC+10216	a20210407_00009_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210407	9	JCMTCAL	IRC+10216	a20210407_00009_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210407	10	JCMTCAL	IRC+10216	a20210407_00010_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210407	10	JCMTCAL	IRC+10216	a20210407_00010_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210407	11	JCMTCAL	IRC+10216	a20210407_00011_01_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	USB	1	1000MHzx2048	345.7959899	CO	3 - 2
20210407	11	JCMTCAL	IRC+10216	a20210407_00011_02_0001.sdf	Aweoweo Point Focus-ZXY Point (7-sample)	LSB	2	1000MHzx2048	333.7959899	No Line	No Line
20210407	12	JCMTCAL	IRC+10216	a20210407_00012_01_0001.sdf	IRC+10216 12CO(3-2) 345.796 LSB	LSB	1	250MHzx8192	345.7959899	CO	3 - 2
20210407	12	JCMTCAL	IRC+10216	a20210407_00012_02_0001.sdf	IRC+10216 12CO(3-2) 345.796 LSB	LSB	2	1000MHzx2048	345.7959899	CO	3 - 2
20210407	12	JCMTCAL	IRC+10216	a20210407_00012_03_0001.sdf	IRC+10216 12CO(3-2) 345.796 LSB	USB	3	250MHzx8192	357.7949492703	No Line	No Line
20210407	12	JCMTCAL	IRC+10216	a20210407_00012_04_0001.sdf	IRC+10216 12CO(3-2) 345.796 LSB	USB	4	1000MHzx2048	357.7949492703	No Line	No Line
20210407	13	JCMTCAL	IRC+10216	a20210407_00013_01_0001.sdf	IRC+10216 12CO(3-2) 345.796 USB	USB	1	250MHzx8192	345.7959899	CO	3 - 2
